0x0	ADD	ADD regA, regB
0x1	ADC	ADC regA, regB
0x2	ADDI	ADDI regA, byte1~2
0x3	ADCI	ADCI regA, byte1~2
0x4	SUB	SUB regA, regB
0x5	SUC	SUC regA, regB
0x6	SUBI	SUBI regA, byte1~2
0x7	SUCI	SUCI regA, byte1~2
0x8	AND	AND regA, regB
0x9	ANDI	ANDI regA, byte1~2
0xA	OR	OR regA, regB
0xB	ORI	ORI regA, byte1~2
0xC	XOR	XOR regA, regB
0xD	XORI	XORI regA, byte1~2
0xE	COM	COM regA
0xF	NEG	NEG regA
0x10	SBR	SBR regA, byte1~2
0x11	CBR	CBR regA, byte1~2
0x12	TST	TST regA
0x13	CMP	CMP regA, regB
0x14	CMPI	CMPI regA, byte1~2
0x15	CLR	CLR regA
0x16	SER	SER regA
0x17	MUL	MUL regA, regB
0x18	MULS	MULS regA, regB
0x19	MULSU	MULSU regA, regB
0x1A	LSL	LSL regA
0x1B	LSR	LSR regA
0x1C	ROL	ROL regA
0x1D	ROR	ROR regA
0x1E	ASR	ASR regA
0x1F	SWAP	SWAP regA
0x20	FSET	FSET byte1
0x21	FCLR	FCLR byte1
0x22	BST	BST regA, byte1
0x23	BLD	BLD regA, byte1
0x24	MOV	MOV regA, regB
0x25	LDI	LDI regA, byte1~2
0x26	LDR	LDR regA, regB~regC
0x27	STR	STR regA, regB~regC
0x28	PUSH	PUSH regA
0x29	POP	POP regA
0x2A	SEB	SEB regA~regB
0x2B	SEBI	SEBI byte1~3
0x2C	SOUT	SOUT regA
0x2D	SOUTI	SOUTI byte1
0x2E	SIN	SIN regA
0x2F	RJMP	RJMP byte1~3
0x30	JMP	JMP regA~regB
0x31	JMPI	JMPI byte1~3
0x32	CALL	CALL regA~regB
0x33	CALLI	CALLI byte1~3
0x34	RET	RET
0x35	SEQ	SEQ
0x36	SNE	SNE
0x37	SGR	SGR
0x38	SLE	SLE
0x39	SEQGR	SEQGR
0x3A	SEQLE	SEQLE
0x3B	BREQ	BREQ byte1~3
0x3C	BRNE	BRNE byte1~3
0x3D	BRGR	BRGR byte1~3
0x3E	BRLE	BRLE byte1~3
0x3F	BREQGR	BREQGR byte1~3
0x40	BREQLE	BREQLE byte1~3
0x41	RBREQ	RBREQ regA~B
0x42	RBRNE	RBRNE regA~B
0x43	RBRGR	RBRGR regA~B
0x44	RBRLE	RBRLE regA~B
0x45	RBREQGR	RBREQGR regA~B
0x46	RBREQLE	RBREQLE regA~B
0x47	PXL	PXL regA, regB, regC
0x48	SCLR	SCLR regA
0x49	SCLRI	SCLRI byte1~2
0x4A	TSIZ	TSIZ regA
0x4B	TSIZI	TSIZI byte1
0x4C	TCOL	TCOL regA
0x4D	TCOLB	TCOLB regA, regB
0x4E	TCOLI	TCOLI byte1~2
0x4F	TWRAP	TWRAP regA
0x50	TWRAPI	TWRAPI byte1
0x51	TCPOS	TCPOS regA, regB
0x52	TOUT	TOUT regA
0x53	TOUTI	TOUTI byte1
0x54	IMG	IMG regA~B
0x55	IMGI	IMGI byte1~3
0x56	FEXISTS	FEXISTS regA, regB~C
0x57	FMKDIR	FMKDIR   regA, regB~C
0x58	FOPEN	FOPEN regA, regB~C
0x59	FREM	FREM regA, regB~C
0x5A	FRMDIR	FRMDIR regA, regB~C
0x5B	FNAME	FNAME regA, regB
0x5C	FAV	FAV regA
0x5D	FCLOS	FCLOS
0x5E	FFLUS	FFLUS
0x5F	FPEK	FPEK regA
0x60	FPOS	FPOS
0x61	FSEK	FSEK regA, regB~C
0x62	FSEKI	FSEKI byte1~3
0x63	FISDIR	FISDIR regA
0x64	FNEXT	FNEXT
0x65	FREW	FREW
0x66	FOUT	FOUT regA
0x67	FOUTI	FOUTI byte1
0x68	FIN	FIN regA
0x69	SET	SET regA, regB~C
0x6A	SETI	SETI byte1, regB~C
0x6B	GET	GET regA
0x6C	GETI	GETI byte1
0x6D	RUN	RUN regA~B
